,m_a [eV],G_ap[GeV^-1]
199,6.28e-11,5.02e-11
200,6.33e-11,5.04e-11
201,6.38e-11,4.96e-11
202,6.43e-11,4.94e-11
203,6.48e-11,5.03e-11
204,6.53e-11,5.01e-11
205,6.59e-11,5.16e-11
206,6.64e-11,5.21e-11
207,6.69e-11,5.21e-11
208,6.75e-11,5.16e-11
209,6.8e-11,5.06e-11
210,6.86e-11,4.97e-11
211,6.91e-11,4.96e-11
212,6.97e-11,4.93e-11
213,7.02e-11,4.94e-11
214,7.08e-11,4.94e-11
215,7.14e-11,4.97e-11
216,7.2e-11,5e-11
217,7.25e-11,4.99e-11
218,7.31e-11,4.92e-11
219,7.37e-11,4.96e-11
220,7.43e-11,4.96e-11
221,7.49e-11,4.94e-11
222,7.55e-11,4.66e-11
223,7.61e-11,4.99e-11
224,7.67e-11,4.92e-11
225,7.73e-11,4.94e-11
226,7.8e-11,4.93e-11
227,7.86e-11,4.96e-11
228,7.92e-11,4.9e-11
229,7.99e-11,4.94e-11
230,8.05e-11,4.97e-11
231,8.12e-11,4.9e-11
232,8.18e-11,4.94e-11
233,8.25e-11,4.98e-11
234,8.31e-11,4.95e-11
235,8.38e-11,4.99e-11
236,8.45e-11,4.97e-11
237,8.52e-11,4.96e-11
238,8.59e-11,5e-11
239,8.66e-11,4.98e-11
240,8.73e-11,4.99e-11
241,8.8e-11,5e-11
242,8.87e-11,4.99e-11
243,8.94e-11,5e-11
244,9.01e-11,4.94e-11
245,9.08e-11,5.04e-11
246,9.16e-11,5.04e-11
247,9.23e-11,5.09e-11
248,9.3e-11,5.08e-11
249,9.38e-11,5.08e-11
250,9.46e-11,5.07e-11
251,9.53e-11,5.07e-11
252,9.61e-11,5.08e-11
253,9.69e-11,5.08e-11
254,9.76e-11,5.12e-11
255,9.84e-11,5.12e-11
256,9.92e-11,5.14e-11
257,1e-10,5.12e-11
258,1.01e-10,5.1e-11
259,1.02e-10,5.16e-11
260,1.03e-10,5.09e-11
261,1.03e-10,5.16e-11
262,1.04e-10,5.14e-11
263,1.05e-10,5.16e-11
264,1.06e-10,5.16e-11
265,1.07e-10,5.17e-11
266,1.08e-10,5.2e-11
267,1.08e-10,5.2e-11
268,1.09e-10,5.23e-11
269,1.1e-10,5.24e-11
270,1.11e-10,5.23e-11
271,1.12e-10,5.31e-11
272,1.13e-10,5.24e-11
273,1.14e-10,5.23e-11
274,1.15e-10,5.19e-11
275,1.16e-10,5.24e-11
276,1.17e-10,5.27e-11
277,1.18e-10,5.27e-11
278,1.18e-10,5.28e-11
279,1.19e-10,5.3e-11
280,1.2e-10,5.35e-11
281,1.21e-10,5.07e-11
282,1.22e-10,5.3e-11
283,1.23e-10,5.37e-11
284,1.24e-10,5.4e-11
285,1.25e-10,5.34e-11
286,1.26e-10,5.37e-11
287,1.27e-10,5.36e-11
288,1.28e-10,5.37e-11
289,1.29e-10,5.35e-11
290,1.3e-10,5.41e-11
291,1.31e-10,5.43e-11
292,1.33e-10,5.46e-11
293,1.34e-10,5.42e-11
294,1.35e-10,5.43e-11
295,1.36e-10,5.47e-11
296,1.37e-10,5.47e-11
297,1.38e-10,5.43e-11
298,1.39e-10,5.51e-11
299,1.4e-10,5.51e-11
300,1.41e-10,5.46e-11
301,1.42e-10,5.47e-11
302,1.44e-10,5.51e-11
303,1.45e-10,5.5e-11
304,1.46e-10,5.49e-11
305,1.47e-10,5.53e-11
306,1.48e-10,5.48e-11
307,1.5e-10,5.58e-11
308,1.51e-10,5.57e-11
309,1.52e-10,5.68e-11
310,1.53e-10,5.63e-11
311,1.54e-10,5.63e-11
312,1.56e-10,5.65e-11
313,1.57e-10,5.66e-11
314,1.58e-10,5.91e-11
315,1.59e-10,5.73e-11
316,1.61e-10,5.72e-11
317,1.62e-10,5.67e-11
318,1.63e-10,5.63e-11
319,1.65e-10,5.7e-11
320,1.66e-10,5.68e-11
321,1.67e-10,5.62e-11
322,1.69e-10,5.79e-11
323,1.7e-10,5.73e-11
324,1.71e-10,5.72e-11
325,1.73e-10,5.77e-11
326,1.74e-10,5.74e-11
327,1.76e-10,5.79e-11
328,1.77e-10,5.76e-11
329,1.78e-10,5.84e-11
330,1.8e-10,5.83e-11
331,1.81e-10,5.82e-11
